"coverageStatus","generationBucket","referenceStatus","coverageSource","graceSku","websiteSku","family","productGroupSlug","itemName","color","capacity","capacityMl","applicator","capStyle","capColor","materialBucket","currentImageUrl","currentImageUrlCapOff","coverageEvidenceUrl","referenceSource","referencePath","referenceUrl","productUrl","missingPromptFields"
"needs_generation","generate_from_local_reference","local_reference_ready","none","GB-SLK-CLR-50ML-SPR-SSLV","GBSlk50SpryShnSl","Sleek","","Sleek design 50 ml, 1.7oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pric","Clear","50 ml (1.69 oz)","50","Perfume Spray Pump","Spray","Shiny Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50SpryShnSl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-SSLV.png","","https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-shiny-silver-spray-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-DMD-CLR-60ML-ASP-RED","GBDmnd2ozAnSpRed","Diamond","","Diamond design 60ml, 2 ounce  clear glass bottle  with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty","Clear","60 ml (2.03 oz)","60","Vintage Bulb Sprayer","Spray","Red","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529903317_m33klj_57ec9032-679f-4ba9-856a-f26a7255b64b.png?v=1779530295","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529903317_m33klj_57ec9032-679f-4ba9-856a-f26a7255b64b.png?v=1779530295","","","","https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","CMP-ROC-SLV-17415-DOT","CpRoll17-415SlDot","Roll-On Cap","","Silver with dots cap or closure for rollon bottles, Threadsize 17-415","Silver","0 ml (0 oz)","0","Plastic Roller Ball","Roll-On","Silver","silver","https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415SlDot.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SLV-17415-DOT.png","","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Silver-Dot-Color-17-415","heightWithoutCap"
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-ELG-CLR-100ML-RDC-LBLT","GBElg100RdcrLBrwnLthr","Elegant","","Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and light brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 6","Clear","100 ml (3.38 oz)","100","Reducer","Faux Leather","Light Brown Leather","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314884579_3x7x2z.png?v=1780901303","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314884579_3x7x2z.png?v=1780901303","","","","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-light-brown-faux-leather-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SPR-CLR-30ML-GLD","GBSpry1ozGl","Cylinder","","Clear Glass Spray Bottle with Gold Top and Base. Capacity: 1oz (30ml)","Clear","30 ml (1.01 oz)","30","Fine Mist Sprayer","Spray","Shiny Gold","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSpry1ozGl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-SPR-CLR-30ML-GLD__GBSpry1ozGl__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Gold-1oz",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-CLR-30ML-RBL-MGLD","GBBstn1ozRollonMattGl","Boston Round","","Boston round design 30ml, 1oz Clear glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each","Clear","30 ml (1.01 oz)","30","Plastic Roller Ball","Screw Cap","Matte Gold","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779650932453_zrm5xu_e5c7935f-bb57-4b58-be3e-fd7a41dc600e.png?v=1779661357","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779650932453_zrm5xu_e5c7935f-bb57-4b58-be3e-fd7a41dc600e.png?v=1779661357","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-clear-glass-bottle-plastic-roller-ball-matte-gold-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-AMB-30ML-WHT-T-03","GBBstnAmb1ozWhtDrprShnSlTrim","Boston Round","","Boston round design 30ml, 1oz Amber glass bottle and white dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Amber","30 ml (1.01 oz)","30","Dropper","Tall","White","amber","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655331448_2olpqg.png?v=1779660531","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655331448_2olpqg.png?v=1779660531","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-white-dropper-shiny-silver-trim-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","GB-SLK-CLR-50ML-SPR-MGLD","GBSlk50SpryMtGl","Sleek","","Sleek design 50 ml, 1.7oz  clear glass bottle  with matte gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Price","Clear","50 ml (1.69 oz)","50","Perfume Spray Pump","Spray","Matte Gold","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50SpryMtGl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-MGLD.png","","https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-matte-gold-spray-pump-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-DMD-CLR-60ML-ASP-IVSL","GBDmnd2ozAnSpIvySl","Diamond","","Diamond design 60ml, 2 ounce  clear glass bottle  with ivory vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau","Clear","60 ml (2.03 oz)","60","Vintage Bulb Sprayer","Spray","Ivory","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529968729_vvimn8.png?v=1779530291","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529968729_vvimn8.png?v=1779530291","","","","https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","CMP-ROC-PNK-17415-DOT","CpRoll17-415PnkDot","Roll-On Cap","","Pink with dots cap or closure for rollon bottles, Threadsize 17-415","Pink","0 ml (0 oz)","0","Plastic Roller Ball","Roll-On","Pink","pink","https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415PnkDot.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-PNK-17415-DOT.png","","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Pink-Dot-Color-17-415","heightWithoutCap"
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-ELG-CLR-100ML-RDC-MSLV-T","GBElg100RdcrMtSlTall","Elegant","","Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml and","Clear","100 ml (3.38 oz)","100","Reducer","Tall","Matte Silver","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314944736_4rco66.png?v=1780901299","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314944736_4rco66.png?v=1780901299","","","","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-tall-silver-matte-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SPR-CLR-30ML-SLV","GBSpry1ozSl","Cylinder","","Clear Glass Spray Bottle with Silver Top and Base. Capacity: 1oz (30ml)","Clear","30 ml (1.01 oz)","30","Fine Mist Sprayer","Spray","Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSpry1ozSl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Cylinder/GB-SPR-CLR-30ML-SLV_1779526475658_bffxt8.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Matte-Silver-1oz",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-AMB-30ML-RON-MGLD","GBBstnAmb1ozRollonMattGl","Boston Round","","Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each","Amber","30 ml (1.01 oz)","30","Plastic Roller Ball","Screw Cap","Matte Gold","amber","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651387701_01zich.png?v=1779661058","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651387701_01zich.png?v=1779661058","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-plastic-roller-ball-matte-gold-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-CBL-30ML-BLK-T-02","GBBstnBlu1ozBlkDropperShnGlTrim","Boston Round","","Boston round design 30ml, 1oz Cobalt blue glass bottle and black dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Cobalt Blue","30 ml (1.01 oz)","30","Dropper","Tall","Black","cobalt-blue","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655446800_66alak.png?v=1779660523","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655446800_66alak.png?v=1779660523","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-cobalt-blue-glass-bottle-black-dropper-shiny-silver-trim-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SLM-CLR-50ML-SPR-SGLD","GBSlm50SpryShnGl","Slim","","Slim design 50 ml, 1.7oz  clear glass bottle  with shiny gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each","Clear","50 ml (1.69 oz)","50","Perfume Spray Pump","Spray","Shiny Gold","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlm50SpryShnGl.gif","","https://www.bestbottles.com/images/store/caps/18-415SpShnGl.png","best_bottles_pipeline_groups","","","https://www.bestbottles.com/product/slim-design-50-ml-glass-bottle-shiny-gold-spray-pump-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-DMD-CLR-60ML-ASP-MSLV","GBDmnd2ozAnSpMtSl","Diamond","","Diamond design 60ml, 2 ounce  clear glass bottle  with matte silver vintage style sprayer with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the be","Clear","60 ml (2.03 oz)","60","Vintage Bulb Sprayer","Spray","Matte Silver","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530028284_5qzvjt.png?v=1779530287","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530028284_5qzvjt.png?v=1779530287","","","","https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","CMP-ROC-MGLD-17415","CpRoll17-415MattGl","Roll-On Cap","","Matte gold cap or closure for rollon bottles, Threadsize 17-415","Gold","0 ml (0 oz)","0","Plastic Roller Ball","Roll-On","Matte Gold","gold","https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415MattGl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MGLD-17415.png","","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Gold-Color-17-415","heightWithoutCap"
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-CIR-BLK-30ML-SPR-BLK","GBCrcl30SpryBlk","Circle","","Circle design 30 ml, clear glass bottle with sprayer and black cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Circle design is a family of bottles availabel in many sizes. Price each","Clear","30 ml (1.01 oz)","30","Perfume Spray Pump","Spray","Black","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryBlk.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-BLK-30ML-SPR-BLK_1779596602384_2j00pk.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-black-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-ELG-CLR-100ML-RDC-WHT","GBElg100RdcrWht","Elegant","","Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml and 100ml. Pric","Clear","100 ml (3.38 oz)","100","Reducer","Screw Cap","White","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315005748_k2dwmk.png?v=1780901295","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315005748_k2dwmk.png?v=1780901295","","","","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-white-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-AMB-30ML-RON-MBLK","GBBstnAmb1ozRollonMattBlk","Boston Round","","Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each","Amber","30 ml (1.01 oz)","30","Plastic Roller Ball","Roll-On","Matte Black","amber","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651442176_83bdfn.png?v=1779661054","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651442176_83bdfn.png?v=1779661054","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-plastic-roller-ball-matte-black-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-CBL-30ML-WHT-T-01","GBBstnBlu1ozWhtDropper","Boston Round","","Boston round design 30ml, 1oz Cobalt blue glass bottle with white dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Cobalt Blue","30 ml (1.01 oz)","30","Dropper","Tall","White","cobalt-blue","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655493006_vrkatt.png?v=1779660519","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655493006_vrkatt.png?v=1779660519","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-cobalt-blue-glass-bottle-white-dropper",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","GB-SLM-CLR-50ML-SPR-SSLV","GBSlm50SpryShnSl","Slim","","Slim design 50 ml, 1.7oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each","Clear","50 ml (1.69 oz)","50","Perfume Spray Pump","Spray","Shiny Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlm50SpryShnSl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-SSLV.png","","https://www.bestbottles.com/product/slim-design-50-ml-glass-bottle-shiny-silver-spray-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-DMD-CLR-60ML-ASP-WHT","GBDmnd2ozAnSpWht","Diamond","","Diamond design 60ml, 2 ounce  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau","Clear","60 ml (2.03 oz)","60","Vintage Bulb Sprayer","Spray","White","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530098592_qd2r9a.png?v=1779530283","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530098592_qd2r9a.png?v=1779530283","","","","https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","CMP-ROC-SGLD-17415","CpRoll17-415ShnGl","Roll-On Cap","","Shiny gold cap or closure for rollon bottles, Threadsize 17-415","Gold","0 ml (0 oz)","0","Plastic Roller Ball","Roll-On","Shiny Gold","gold","https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnGl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SGLD-17415.png","","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Gold-Color-17-415","heightWithoutCap"
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-ELG-CLR-100ML-RDC-BRLT","GBElg100RdcrBrwnLthr","Elegant","","Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml an","Clear","100 ml (3.38 oz)","100","Reducer","Faux Leather","Brown Leather","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315062729_ztt022.png?v=1780901291","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315062729_ztt022.png?v=1780901291","","","","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-brown-faux-leather-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-AMB-30ML-RON-MSLV","GBBstnAmb1ozRollonMattSl","Boston Round","","Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each","Amber","30 ml (1.01 oz)","30","Plastic Roller Ball","Roll-On","Matte Silver","amber","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651493516_xcrrz1.png?v=1779661050","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651493516_xcrrz1.png?v=1779661050","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-plastic-roller-ball-matte-silver-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-CBL-30ML-WHT-T-02","GBBstnBlu1ozWhtDropperShnGlTrim","Boston Round","","Boston round design 30ml, 1oz Cobalt blue glass bottle and white dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Cobalt Blue","30 ml (1.01 oz)","30","Dropper","Tall","White","cobalt-blue","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655537700_t6rxdq.png?v=1779660515","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655537700_t6rxdq.png?v=1779660515","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-cobalt-blue-glass-bottle-white-dropper-shiny-gold-trim-cap",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","GB-SLM-CLR-50ML-SPR-MSLV","GBSlm50SpryMtSl","Slim","","Slim design 50 ml, 1.7oz  clear glass bottle  with matte silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each","Clear","50 ml (1.69 oz)","50","Perfume Spray Pump","Spray","Matte Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlm50SpryMtSl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-MSLV.png","","https://www.bestbottles.com/product/slim-design-50-ml-glass-bottle-matte-silver-spray-pump-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-DMD-CLR-60ML-AST-GLD","GBDmnd2ozAnSpTslGl","Diamond","","Diamond design 60ml, 2 ounce  clear glass bottle  with Gold vintage style bulb sprayer with tassel with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance","Clear","60 ml (2.03 oz)","60","Vintage Bulb Sprayer with Tassel","Screw Cap","Gold","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530219413_at0vxc_2b35f880-c989-4fbc-8c56-fe6ff463a55d.png?v=1779531051","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530219413_at0vxc_2b35f880-c989-4fbc-8c56-fe6ff463a55d.png?v=1779531051","","","","https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar",""
"needs_generation","generate_from_local_reference","local_reference_ready","none","CMP-ROC-SSLV-17415","CpRoll17-415ShnSl","Roll-On Cap","","Shiny silver cap or closure for rollon bottles, Threadsize 17-415","Silver","0 ml (0 oz)","0","Plastic Roller Ball","Roll-On","Shiny Silver","silver","https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnSl.gif","","","madison-masters-2080x2288-all-families-2026-05-08","/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SSLV-17415.png","","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Silver-Color-17-415","heightWithoutCap"
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-BSR-AMB-30ML-RON-SSLV","GBBstnAmb1ozRollonShnSl","Boston Round","","Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each","Amber","30 ml (1.01 oz)","30","Plastic Roller Ball","Roll-On","Shiny Silver","amber","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651553190_028ynq.png?v=1779661046","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651553190_028ynq.png?v=1779661046","","","","https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-plastic-roller-ball-shiny-silver-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-ELG-FRS-100ML-RDC-SBLK","GBElgFrst100RdcrShnBlk","Elegant","","Elegant design 100 ml, 3 1/2oz frosted glass bottle with reducer and black shiny cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml and 100ml","Frosted","100 ml (3.38 oz)","100","Reducer","Screw Cap","Shiny Black","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBElgFrst100RdcrShnBlk.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Elegant/GB-ELG-FRS-100ML-RDC-SBLK_1779482998274_iz85jf.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-black-shiny-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RCT-CLR-10ML-GLD-T-01","GBRect10Gl","Rectangle","","Footed rectangular design 10ml, 1/3oz Clear glass bottle with shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each","Clear","10 ml (0.34 oz)","10","","Tall","Gold","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBRect10Gl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RCT-CLR-10ML-GLD-T-01__GBRect10Gl__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/footed-rectangular-design-10-ml-bottle-shiny-gold-cap","applicator"
